,CATEGORY,ATTR1,ATTR2,ATTR3,FORMAT,SEGMENT
0,1,CLORO,CLORO,BAMBINO,LIQUIDO,BLEACH
1,1,CLORO,CLORO,GERMICIDA,LIQUIDO,BLEACH
2,1,CLORO,CLORO,MASCOTAS,LIQUIDO,BLEACH
3,1,CLORO,CLORO,MULTIUSOS,GEL,BLEACH
4,1,CLORO,CLORO,MULTIUSOS,LIQUIDO,BLEACH
5,1,CLORO,CLORO,NO DEFINIDO,LIQUIDO,BLEACH
6,1,CLORO,CLORO,NO DEFINIDO,POLVO,BLEACH
7,1,CLORO,CLORO,OTR. TIPOS,LIQUIDO,BLEACH
8,1,CLORO,CLORO,OTR. TIPOS,POLVO,BLEACH
9,1,CLORO,CLORO,ROPA BEBE,LIQUIDO,BLEACH
10,1,CLORO,CLORO,,LIQUIDO,BLEACH
11,1,CLORO,MASCOTAS,MASCOTAS,LIQUIDO,BLEACH
12,1,CLORO,MULTIUSOS,MULTIUSOS,GEL,BLEACH
13,1,CLORO,NO DEFINIDO,NO DEFINIDO,LIQUIDO,BLEACH
14,1,PRELAVADOR,FABRIC TREATMENT,BLANCO,GEL,LIQUID & GEL
15,1,PRELAVADOR,FABRIC TREATMENT,BLANCO,POLVO,POWDER
16,1,PRELAVADOR,FABRIC TREATMENT,BLANCO,TOALLAS,OTHERS
17,1,PRELAVADOR,FABRIC TREATMENT,OTR. TIPOS,LIQUIDO,PRETREAT
18,1,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR,LIQUIDO,PRETREAT
19,1,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR,POLVO,POWDER
20,1,PRELAVADOR,FABRIC TREATMENT,QUITAMANCHAS,LIQUIDO,PRETREAT
21,1,PRELAVADOR,FABRIC TREATMENT,ROPA COLOR,LIQUIDO,PRETREAT
22,1,PRELAVADOR,FABRIC TREATMENT,ROSA,GEL,LIQUID & GEL
23,1,PRELAVADOR,FABRIC TREATMENT,ROSA,LIQUIDO,PRETREAT
24,1,PRELAVADOR,FABRIC TREATMENT,ROSA,POLVO,POWDER
25,1,SAFE BLEACH,FABRIC TREATMENT,BLANCO,BARRA,BAR
26,1,SAFE BLEACH,FABRIC TREATMENT,BLANCO,GEL,LIQUID & GEL
27,1,SAFE BLEACH,FABRIC TREATMENT,BLANCO,LIQUIDO,LIQUID & GEL
28,1,SAFE BLEACH,FABRIC TREATMENT,BLANCO,POLVO,POWDER
29,1,SAFE BLEACH,FABRIC TREATMENT,COLOR PODER VINAGRE,GEL,LIQUID & GEL
30,1,SAFE BLEACH,FABRIC TREATMENT,COLOR PODER VINAGRE,LIQUIDO,LIQUID & GEL
31,1,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS,BARRA,BAR
32,1,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS,GEL,LIQUID & GEL
33,1,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS,LIQUIDO,LIQUID & GEL
34,1,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS,POLVO,POWDER
35,1,SAFE BLEACH,FABRIC TREATMENT,PODER OXIGENO,GEL,LIQUID & GEL
36,1,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR,BARRA,BAR
37,1,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR,GEL,LIQUID & GEL
38,1,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR,LIQUIDO,PRETREAT
39,1,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR,POLVO,POWDER
40,1,SAFE BLEACH,FABRIC TREATMENT,QUITAMANCHAS,GEL,LIQUID & GEL
41,1,SAFE BLEACH,FABRIC TREATMENT,QUITAMANCHAS,LIQUIDO,LIQUID & GEL
42,1,SAFE BLEACH,FABRIC TREATMENT,QUITAMANCHAS,POLVO,POWDER
43,1,SAFE BLEACH,FABRIC TREATMENT,ROPA BLANCA,LIQUIDO,LIQUID & GEL
44,1,SAFE BLEACH,FABRIC TREATMENT,ROPA BLANCA,POLVO,POWDER
45,1,SAFE BLEACH,FABRIC TREATMENT,ROPA COLOR,LIQUIDO,LIQUID & GEL
46,1,SAFE BLEACH,FABRIC TREATMENT,ROPA COLOR,POLVO,POWDER
47,1,SAFE BLEACH,FABRIC TREATMENT,ROSA,BARRA,BAR
48,1,SAFE BLEACH,FABRIC TREATMENT,ROSA,GEL,LIQUID & GEL
49,1,SAFE BLEACH,FABRIC TREATMENT,ROSA,LIQUIDO,LIQUID & GEL
50,1,SAFE BLEACH,FABRIC TREATMENT,ROSA,POLVO,POWDER
51,1,SAFE BLEACH,PRE LAVADOR,PRE LAVADOR,GEL,PRETREAT
52,1,SANITIZANTE,SANITIZANTE,SANITIZANTE,LIQUIDO,SANITIZER
